name,salary_from,salary_to,salary_currency,area_name,published_at
Фрезеровщик,45000,,RUR,Красноярск,2022-12-21T04:38:04+0300
Механик по ремонту грузоподъемных механизмов,50000,55000,RUR,Красноярск,2022-12-21T04:36:50+0300
Автор работ по механике,,100000,RUR,Ростов-на-Дону,2022-12-21T05:19:55+0300
Главный механик,55000,55000,RUR,Кемерово,2022-12-21T04:09:19+0300
Мастер по ремонту холодильников (ученик),100000,150000,RUR,Новосибирск,2022-12-21T05:14:49+0300
Автор работ по механике,,100000,RUR,Самара,2022-12-21T05:19:55+0300
Автор работ по механике,,100000,RUR,Казань,2022-12-21T05:19:55+0300
Автор работ по механике,,100000,RUR,Екатеринбург,2022-12-21T05:19:55+0300
Программист 1С,80000,80000,RUR,Новосибирск,2022-12-21T04:20:14+0300
Автор работ по механике,,100000,RUR,Челябинск,2022-12-21T05:19:55+0300
"Оператор станков с ЧПУ 3,4 разряда (Токарная группа)",33000,42000,RUR,Омск,2022-12-21T05:46:51+0300
Инженер-механик,65000,,RUR,Томск,2022-12-21T05:04:58+0300
Автор работ по механике,,100000,RUR,Нижний Новгород,2022-12-21T05:19:55+0300
Автор работ по механике,,100000,RUR,Новосибирск,2022-12-21T05:19:55+0300
Руководитель проекта,65000,,RUR,Новосибирск,2022-12-21T04:39:32+0300
Автор работ по механике,,100000,RUR,Омск,2022-12-21T05:19:55+0300
Автор работ по механике,,100000,RUR,Астана,2022-12-21T05:19:55+0300
Специалист по техническому обслуживанию клиентов,23000,23000,RUR,Саратов,2022-12-21T05:10:12+0300
Frontend разработчик,80000,,RUR,Томск,2022-12-21T07:10:34+0300
Оператор,40000,55000,RUR,Сургут,2022-12-21T07:30:04+0300
Механик ДСТ,130000,150000,RUR,Томск,2022-12-21T06:48:43+0300
Инженер связи,80000,125000,RUR,Екатеринбург,2022-12-21T06:10:09+0300
Токарь,45000,,RUR,Томск,2022-12-21T06:23:33+0300
Фрезеровщик,65000,75000,RUR,Екатеринбург,2022-12-21T06:59:48+0300
Специалист по информационной безопасности (специалист-эксперт),31000,44000,RUR,Иркутск,2022-12-21T06:13:24+0300
Middle/Senior Frontend разработчик (Vue.js),130000,150000,RUR,Санкт-Петербург,2022-12-21T07:48:11+0300
Сервисный инженер-механик,70000,,RUR,Мыски,2022-12-21T06:54:44+0300
Сетевой администратор,35000,35000,RUR,Томск,2022-12-21T07:26:10+0300
Оператор лазерной резки с ЧПУ,55000,,RUR,Иркутск,2022-12-21T06:07:42+0300
Консультант 1С,250000,500000,KZT,Алматы,2022-12-21T06:57:15+0300
Программист 1С,40000,,RUR,Челябинск,2022-12-21T07:15:19+0300
Зубной техник (цифровой дизайн),150000,,RUR,Москва,2022-12-21T07:55:10+0300
Инженер первой линии поддержки (системный администратор),45000,50000,RUR,Новосибирск,2022-12-21T07:47:35+0300
Оператор станка с ЧПУ,55000,70000,RUR,Рязань,2022-12-21T07:46:45+0300
Механик ДСТ,130000,150000,RUR,Красноярск,2022-12-21T06:48:34+0300
Инженер технической поддержки (сервисный инженер),220000,317000,KZT,Алматы,2022-12-21T06:41:57+0300
Помощник системного администратора,35000,40000,RUR,Энгельс,2022-12-21T07:03:05+0300
Инженер-механик,60000,,RUR,Екатеринбург,2022-12-21T06:38:37+0300
Архитектор БД,150000,200000,RUR,Москва,2022-12-21T07:14:17+0300
Техник по сервису,,310000,KZT,Алматы,2022-12-21T06:19:06+0300
C# Backend-разработчик,45000,,RUR,Пермь,2022-12-21T07:10:13+0300
"Оператор Склада - Мой Склад,1с Управление Торговлей",50000,,RUR,Москва,2022-12-21T07:57:10+0300
