name,salary_from,salary_to,salary_currency,area_name,published_at
Ведущий эксперт компьютерно-технического направления,55000,,RUR,Воронеж,2022-12-21T11:42:05+0300
Ученик мастера (м. Жулебино),70000,130000,RUR,Москва,2022-12-21T10:25:35+0300
Механик,80000,90000,RUR,Москва,2022-12-21T11:54:46+0300
Аналитик-маркетолог,,135000,RUR,Москва,2022-12-21T10:59:52+0300
Монтажник СКС,60000,,RUR,Москва,2022-12-21T11:06:43+0300
Токарь,,40000,RUR,Дедовск,2022-12-21T10:53:35+0300
"Менеджер по оптимизации бизнес-процессов (Бизнес-аналитик, Архитектор бизнес-процессов)",,150000,RUR,Москва,2022-12-21T10:20:17+0300
Монтажник слаботочных систем,70000,,RUR,Москва,2022-12-21T10:44:59+0300
Менеджер по работе с клиентами (холодные звонки),39000,,RUR,Новосибирск,2022-12-21T11:06:32+0300
Backend-разработчик,90000,160000,RUR,Новосибирск,2022-12-21T11:38:51+0300
Разработчик C/С++,90000,100000,RUR,Москва,2022-12-21T10:13:45+0300
"Механик по выпуску, контролю и техническому состоянию автомобилей",35000,,RUR,Карталы,2022-12-21T11:12:44+0300
Наладчик сварочного и газоплазморезательного оборудования,35000,,RUR,Энгельс,2022-12-21T11:54:12+0300
Специалист по защите информации,55000,,RUR,Челябинск,2022-12-21T11:18:10+0300
Сервисный инженер(возможно без опыта),45000,50000,RUR,Иркутск,2022-12-21T11:56:41+0300
Business Analyst,150000,170000,RUR,Москва,2022-12-21T10:42:18+0300
Сервисный инженер,63230,80500,RUR,Москва,2022-12-21T10:46:10+0300
Младший специалист технической поддержки,57000,78000,RUR,Москва,2022-12-21T10:11:07+0300
Младший менеджер продукта ( системы хранения данных),100000,,RUR,Москва,2022-12-21T10:58:22+0300
Разработчик FPGA,100000,120000,RUR,Москва,2022-12-21T10:02:49+0300
Руководитель IT проекта СЭД Tessa,200000,300000,RUR,Москва,2022-12-21T11:04:53+0300
Инженер-программист,100000,130000,RUR,Омск,2022-12-21T10:45:32+0300
Фрезеровщик,112000,120000,RUR,Ярославль,2022-12-21T10:34:40+0300
"Финансовый аналитик со знанием Power BI, Power Query",75000,,RUR,Краснодар,2022-12-21T11:34:54+0300
Механик (п. Малино),60000,,RUR,Воскресенск,2022-12-21T11:29:58+0300
"Визуальный мерчандайзер (ТЦ ""Драйв м. Жулебино"")",60000,70000,RUR,Люберцы,2022-12-21T11:36:30+0300
Ведущий аналитик Power BI,120000,,RUR,Москва,2022-12-21T10:42:13+0300
Механик по выпуску автотранспорта,40000,,RUR,Новокузнецк,2022-12-21T11:20:11+0300
Инженер,40000,,RUR,Уфа,2022-12-21T10:27:19+0300
"Product manager (mobile games, remotely)",1500,2500,USD,Ташкент,2022-12-21T11:28:04+0300
Инженер-программист,100000,130000,RUR,Санкт-Петербург,2022-12-21T10:45:31+0300
Токарь,40000,,RUR,Йошкар-Ола,2022-12-21T11:18:57+0300
Консультант по работе с клиентами в чатах,28000,34000,RUR,Калининград,2022-12-21T10:32:02+0300
Токарь,93800,97500,RUR,Краснодар,2022-12-21T11:13:36+0300
Фрезеровщик,,60000,RUR,Таежный,2022-12-21T10:18:25+0300
Программист,100000,,RUR,Королев,2022-12-21T11:00:11+0300
Маркетолог( младший продакт),70000,105000,RUR,Москва,2022-12-21T11:57:50+0300
"Ученик мастера-универсала (изготовление ключей, заточка инструмента, ремонт обуви, кожгалантереи,)",20000,25000,RUR,Екатеринбург,2022-12-21T10:46:35+0300
Менеджер проектов,1000,,USD,Алматы,2022-12-21T10:25:20+0300
"Оператор станка с ЧПУ на КРП; гибку (Всеволожский р-н, пос.им. Свердлова)",50000,70000,RUR,пгт имени Свердлова,2022-12-21T11:36:33+0300
Механик по транспорту,50000,60000,RUR,Липецк,2022-12-21T10:17:23+0300
Токарь,93800,97500,RUR,Тимашевск,2022-12-21T11:13:36+0300
Системный администратор \ Инженер 1-ой линии Технической поддержки,60000,85000,RUR,Москва,2022-12-21T10:35:28+0300
Механик (п. Малино),60000,,RUR,Ступино,2022-12-21T11:29:58+0300
Наладчик полиграфического оборудования,45000,,RUR,Нижний Новгород,2022-12-21T10:41:30+0300
Системный администратор,110000,160000,RUR,Москва,2022-12-21T10:57:49+0300
Токарь на большие станки,120000,,RUR,Орел,2022-12-21T10:46:11+0300
Программист PHP (Symfony) / PHP-разработчик,,200000,RUR,Санкт-Петербург,2022-12-21T11:25:32+0300
Специалист службы технической поддержки,45000,50000,RUR,Санкт-Петербург,2022-12-21T11:07:22+0300
Системный аналитик,,40000,RUR,Барнаул,2022-12-21T10:59:34+0300
Full-stack разработчик PHP,800000,,KZT,Астана,2022-12-21T11:41:13+0300
Заточник д/о инструмента,35000,50000,RUR,Елабуга,2022-12-21T11:54:03+0300
Ведущий бизнес аналитик IT (senior/middle),180000,350000,RUR,Москва,2022-12-21T10:09:22+0300
Программист 1С,80000,,RUR,Нижний Новгород,2022-12-21T10:50:05+0300
Дизайнер,70000,91000,RUR,Томск,2022-12-21T10:15:20+0300
Инженер службы поддержки и внедрения,90000,,RUR,Москва,2022-12-21T11:31:37+0300
Системный администратор (на склад),35000,50000,RUR,Ростов-на-Дону,2022-12-21T10:10:49+0300
Декоратор,53600,,RUR,Одинцово,2022-12-21T11:08:43+0300
Сетевой инженер,60000,70000,RUR,Калуга,2022-12-21T10:31:35+0300
PHP программист,140000,170000,RUR,Москва,2022-12-21T11:48:07+0300
Токарь,93800,97500,RUR,Волгодонск,2022-12-21T11:13:36+0300
Оператор станков с ПУ,55000,80000,RUR,Брянск,2022-12-21T10:57:05+0300
Токарь-карусельщик,100000,,RUR,Щелково,2022-12-21T11:33:42+0300
Data Engineer,300000,,RUR,Санкт-Петербург,2022-12-21T10:10:19+0300
Fullstack Javascript разработчик,150000,,RUR,Москва,2022-12-21T11:44:17+0300
Технический директор (Слаботочные системы),200000,,RUR,Москва,2022-12-21T11:20:23+0300
Администратор проектов (junior PM),55000,,RUR,Зеленоград,2022-12-21T10:50:11+0300
Ученик компьютерного мастера / Начинающий специалист / Мастер по ремонту компьютеров и ноутбуков,100000,130000,RUR,Москва,2022-12-21T11:32:30+0300
Мастер по ремонту электроники Блюхера,40000,,RUR,Екатеринбург,2022-12-21T10:46:28+0300
Программист 1C,50000,,RUR,Дзержинск (Нижегородская область),2022-12-21T10:56:10+0300
Руководитель IT проекта,80000,,RUR,Санкт-Петербург,2022-12-21T11:52:52+0300
GO программист,60000,,RUR,Волжский (Волгоградская область),2022-12-21T11:10:47+0300
Фрезеровщик,,60000,RUR,Уяр,2022-12-21T10:18:25+0300
Мастер по ремонту мобильной техники в авторизированном центре Samsung,60000,75000,RUR,Екатеринбург,2022-12-21T10:26:07+0300
Механик,80000,80000,RUR,Рязань,2022-12-21T10:04:43+0300
Наладчик станков и манипуляторов с программным управлением,60000,90000,RUR,Киров (Кировская область),2022-12-21T11:59:40+0300
Токарь,90000,,RUR,Красногорск,2022-12-21T11:33:32+0300
Инженер по шеф-монтажу и пуско-наладке,40000,,RUR,Воронеж,2022-12-21T10:27:47+0300
Разработчик 1С,200000,,RUR,Воронеж,2022-12-21T10:00:13+0300
Сетевой инженер,200000,400000,KZT,Алматы,2022-12-21T10:06:55+0300
Фрезеровщик,,60000,RUR,Тасеево,2022-12-21T10:18:26+0300
Специалист по обслуживанию холодильного оборудования,,100000,RUR,Москва,2022-12-21T11:09:10+0300
Разработчик мобильных приложений (Flutter),150000,180000,RUR,Зеленоград,2022-12-21T11:00:12+0300
Системный администратор (Helpdesk),70000,70000,RUR,Москва,2022-12-21T11:47:20+0300
Токарь,90000,,RUR,Одинцово,2022-12-21T11:33:25+0300
Инженер-программист в Банк,100000,120000,RUR,Челябинск,2022-12-21T11:14:55+0300
Ведущий системный администратор,170000,,RUR,Москва,2022-12-21T11:19:05+0300
Фрезеровщик,65000,75000,RUR,Кемерово,2022-12-21T10:58:07+0300
Оператор гибочного пресса,70000,,RUR,Всеволожск,2022-12-21T11:45:27+0300
Токарь,70000,120000,RUR,Тула,2022-12-21T11:31:18+0300
Программист C/С++,150000,,RUR,Санкт-Петербург,2022-12-21T10:50:46+0300
Специалист по холодильному оборудованию / холодильщик,79200,97200,RUR,Санкт-Петербург,2022-12-21T10:45:52+0300
Механик,50000,,RUR,Иркутск,2022-12-21T10:11:19+0300
Инженер отдела внедрения (монтажник слаботочных систем),70000,110000,RUR,Москва,2022-12-21T10:44:45+0300
Токарь (Цех изготовления и окраски корпусов автомобилей),,78000,RUR,Набережные Челны,2022-12-21T11:14:12+0300
Координатор проектов,60000,80000,RUR,Новосибирск,2022-12-21T10:57:36+0300
"Программист javascript (3d WebGL/Blender), удаленно",250000,,RUR,Москва,2022-12-21T11:32:22+0300
Специалист техподдержки систем электронного документооборота,27000,39000,RUR,Красноярск,2022-12-21T10:57:01+0300
Сервис - инженер,95000,,RUR,Звенигород,2022-12-21T10:05:11+0300
Оператор станков с ЧПУ,96250,,RUR,Набережные Челны,2022-12-21T10:18:08+0300
Менеджер исследовательских проектов (junior),40000,50000,RUR,Москва,2022-12-21T11:33:20+0300
Разработчик 1С (Программист 1С),150000,,RUR,Екатеринбург,2022-12-21T11:45:04+0300
Оператор станков с ЧПУ (фрезерная группа),,80000,RUR,Новосибирск,2022-12-21T10:11:48+0300
Оператор видеонаблюдения,20000,26000,RUR,Батайск,2022-12-21T10:45:29+0300
Начальник участка автомобильного транспорта,40000,40000,RUR,Карталы,2022-12-21T11:12:48+0300
Шлифовщик,95000,,RUR,Воскресенск,2022-12-21T11:34:57+0300
Маркетолог-аналитик,60000,,RUR,Махачкала,2022-12-21T11:09:32+0300
Электромеханик оборудования,46500,,RUR,Чебоксары,2022-12-21T10:31:06+0300
Сервис-инженер (хроматографист) по аналитическому оборудованию,100000,100000,RUR,Казань,2022-12-21T10:47:50+0300
SRE Engineer/DevOps (Remote),,250000,RUR,Москва,2022-12-21T10:14:19+0300
Оператор фрезерного станка,70000,80000,RUR,Тула,2022-12-21T11:22:45+0300
Графический дизайнер со знанием 3D,45000,90000,RUR,Томск,2022-12-21T10:54:11+0300
Шлифовщик,95000,,RUR,Балашиха,2022-12-21T11:34:40+0300
Помощник SEO-специалиста,30000,65000,RUR,Иркутск,2022-12-21T11:51:51+0300
Сервис-инженер,50000,60000,RUR,Хабаровск,2022-12-21T10:21:30+0300
Шлифовщик,95000,,RUR,Красногорск,2022-12-21T11:35:01+0300
Сервисный инженер,75000,150000,RUR,Санкт-Петербург,2022-12-21T11:29:20+0300
Бизнес-аналитик,50000,80000,RUR,Москва,2022-12-21T11:24:41+0300
IOS разработчик (Middle),170000,270000,RUR,Красноярск,2022-12-21T10:17:57+0300
Руководитель проекта,55000,,RUR,Барнаул,2022-12-21T11:16:24+0300
Слесарь-инструментальщик,30000,40000,RUR,Волгоград,2022-12-21T11:18:22+0300
Специалист отдела технической поддержки и сервисного обслуживания,60000,,RUR,Иркутск,2022-12-21T11:05:02+0300
Инженер информационной безопасности (Siem),120000,200000,RUR,Москва,2022-12-21T10:00:15+0300
Консультант 1С в Службу заботы (удаленно),60000,120000,RUR,Калуга,2022-12-21T11:40:07+0300
Оператор листогибочного пресса,70000,,RUR,Москва,2022-12-21T10:03:11+0300
Начальник отдела информационных технологий,75000,,RUR,Байкальск,2022-12-21T10:10:52+0300
Оператор-наладчик на пищевое производство,66000,70000,RUR,Москва,2022-12-21T10:47:42+0300
Специалист группы специализированных решений MES и IOT,,200000,RUR,Омск,2022-12-21T11:59:13+0300
Оператор станков с ЧПУ мебельной промышленности,85000,,RUR,Одинцово,2022-12-21T10:39:41+0300
Системный аналитик,130000,,RUR,Сестрорецк,2022-12-21T10:45:32+0300
Инженер-тестировщик электронных компонентов,,100000,RUR,Москва,2022-12-21T11:06:36+0300
Программист SQL,90000,160000,RUR,Новосибирск,2022-12-21T11:41:07+0300
Программист (Java/Kotlin Developer),,200000,RUR,Москва,2022-12-21T11:23:35+0300
Системный аналитик (middle),150000,,RUR,Санкт-Петербург,2022-12-21T10:42:51+0300
Механик,60000,,RUR,Венев,2022-12-21T10:10:45+0300
Фрезеровщик,40000,,RUR,Владимир,2022-12-21T11:07:48+0300
Аналитик поддержки продаж,77000,77000,RUR,Москва,2022-12-21T10:30:44+0300
Консультант 1С (Удаленно),40000,80000,RUR,Калининград,2022-12-21T10:55:53+0300
Ведущий системный аналитик (senior/middle),200000,400000,RUR,Москва,2022-12-21T10:09:14+0300
Специалист технической поддержки (с английским языком),50000,90000,RUR,Москва,2022-12-21T10:13:01+0300
Техник (монтажник) слаботочных систем,70000,80000,RUR,Москва,2022-12-21T11:07:27+0300
Фрезеровщик,,60000,RUR,Сухобузимское,2022-12-21T10:18:26+0300
Фрезеровщик,100000,,RUR,Щелково,2022-12-21T11:33:57+0300
Техник ОПС,35000,,RUR,Кемерово,2022-12-21T10:36:52+0300
Python-разработчик (middle),160000,,RUR,Москва,2022-12-21T11:48:01+0300
Системный администратор / Сетевик,110000,110000,RUR,Москва,2022-12-21T11:10:48+0300
Senior Highload SRE,200000,600000,RUR,Москва,2022-12-21T11:32:52+0300
Системный аналитик 1С,100000,130000,RUR,Санкт-Петербург,2022-12-21T11:41:16+0300
Инженер слаботочных систем,150000,200000,RUR,Москва,2022-12-21T11:33:40+0300
Дизайнер штор и текстильного оформления интерьеров,100000,250000,RUR,Москва,2022-12-21T10:26:13+0300
Электромеханик погрузочного комплекса,70000,71000,RUR,Новокузнецк,2022-12-21T11:10:46+0300
Фрезеровщик,100000,,RUR,Балашиха,2022-12-21T11:34:16+0300
Электромеханик,70000,,RUR,Колпино,2022-12-21T10:01:54+0300
Токарь,33849,33849,RUR,Томск,2022-12-21T10:10:39+0300
Технический редактор,55000,,RUR,Москва,2022-12-21T11:41:19+0300
Мастер сервисной службы,50000,,RUR,Иркутск,2022-12-21T11:12:35+0300
Машинист производственного оборудования,57000,,RUR,Железногорск (Курская область),2022-12-21T11:33:48+0300
Токарь,90000,,RUR,Балашиха,2022-12-21T11:33:16+0300
Токарь на большие станки,120000,,RUR,Брянск,2022-12-21T10:46:11+0300
Токарь,90000,,RUR,Щелково,2022-12-21T11:33:20+0300
Программист 1C,65000,,RUR,Екатеринбург,2022-12-21T10:51:40+0300
Руководитель группы системного администрирования,,180000,RUR,Москва,2022-12-21T10:25:18+0300
Фрезеровщик,100000,,RUR,Серпухов,2022-12-21T11:34:00+0300
Разработчик Back-end,150000,180000,RUR,Зеленоград,2022-12-21T11:00:12+0300
Системный администратор,70000,,RUR,Химки,2022-12-21T10:24:33+0300
Специалист по системному администрированию / администратор баз данных,53000,,RUR,Москва,2022-12-21T10:09:33+0300
Токарь-карусельщик,120000,,RUR,Санкт-Петербург,2022-12-21T11:20:29+0300
Инженер-установщик дополнительного оборудования,60000,100000,RUR,Москва,2022-12-21T11:48:05+0300
IOS разработчик (Middle),150000,250000,RUR,Новосибирск,2022-12-21T10:16:53+0300
Коммерческий аналитик,70000,80000,RUR,Санкт-Петербург,2022-12-21T10:04:50+0300
Системный аналитик,130000,,RUR,Зеленогорск (Ленинградская обл),2022-12-21T10:45:32+0300
Рабочий по комплексному обслуживанию зданий,35000,,RUR,Москва,2022-12-21T11:10:43+0300
Фрезеровщик,100000,,RUR,Серпухов,2022-12-21T11:34:25+0300
Электромеханик,70000,,RUR,Фёдоровское (Ленинградская область),2022-12-21T10:01:54+0300
Начальник отдела,75000,,RUR,Улан-Удэ,2022-12-21T10:11:44+0300
Администратор проекта,70000,,RUR,Москва,2022-12-21T10:01:04+0300
Инженер по АСУП,40000,,RUR,Уфа,2022-12-21T10:27:43+0300
Инженер - Монтажник слаботочных систем (бригадир),80000,140000,RUR,Москва,2022-12-21T10:53:05+0300
Аналитик работы робота,,70000,RUR,Москва,2022-12-21T11:07:22+0300
Фрезеровщик,,60000,RUR,Дрокино,2022-12-21T10:18:26+0300
Менеджер интернет-проектов,35000,90000,RUR,Иркутск,2022-12-21T11:01:27+0300
Токарь,90000,,RUR,Воскресенск,2022-12-21T11:33:29+0300
Ведущий системный инженер (Пассажирский транспорт),180000,,RUR,Москва,2022-12-21T10:10:24+0300
Менеджер-дизайнер,75000,,RUR,Москва,2022-12-21T11:13:16+0300
Наладчик оборудования,55000,70000,RUR,Санкт-Петербург,2022-12-21T10:45:35+0300
Шлифовщик,95000,,RUR,Одинцово,2022-12-21T11:34:49+0300
Специалист расчетного отдела,35000,,RUR,Ростов-на-Дону,2022-12-21T11:18:28+0300
Шлифовщик,95000,,RUR,Щелково,2022-12-21T11:34:42+0300
Senior QA Manual Engineer (Mobile/API),2500,,USD,Санкт-Петербург,2022-12-21T11:40:51+0300
Бизнес-аналитик 1С (блок производство),130000,170000,RUR,Серпухов,2022-12-21T11:27:40+0300
Руководитель производственного участка,143000,,RUR,Химки,2022-12-21T10:38:34+0300
Сервисный инженер,80000,80000,RUR,Санкт-Петербург,2022-12-21T10:25:34+0300
Фрезеровщик,,60000,RUR,Большая Мурта,2022-12-21T10:18:26+0300
Фрезеровщик,100000,,RUR,Красногорск,2022-12-21T11:34:13+0300
Продакт-менеджер,100000,,RUR,Санкт-Петербург,2022-12-21T11:38:56+0300
Токарь-карусельщик,100000,,RUR,Одинцово,2022-12-21T11:33:48+0300
Оператор станка с ЧПУ,60000,150000,RUR,Сосновый Бор (Ленинградская область),2022-12-21T11:29:19+0300
Наладчик станков и манипуляторов с программным управлением (Цех изготовления и окраски корпусов),,80000,RUR,Набережные Челны,2022-12-21T11:12:24+0300
Токарь,90000,,RUR,Балашиха,2022-12-21T11:33:36+0300
Оператор станка с ЧПУ,80000,150000,RUR,Санкт-Петербург,2022-12-21T11:29:20+0300
Токарь-расточник,130000,,RUR,Пермь,2022-12-21T10:34:40+0300
Android разработчик (Kotlin),,4000,USD,Санкт-Петербург,2022-12-21T11:21:34+0300
Начинающий специалист технической поддержки,23000,45000,RUR,Нижний Новгород,2022-12-21T10:25:40+0300
Контролер технического состояния автотранспортных средств (механик по выпуску),21000,27000,RUR,Челябинск,2022-12-21T11:26:17+0300
Системный Аналитик 1С ERP,200000,,RUR,Санкт-Петербург,2022-12-21T11:10:08+0300
Оператор форматно-раскроечного станка/Распиловщик,60000,,RUR,Челябинск,2022-12-21T10:15:58+0300
Токарь-карусельщик,100000,,RUR,Балашиха,2022-12-21T11:33:39+0300
Начинающий мастер по ремонту техники,60000,130000,RUR,Москва,2022-12-21T10:40:59+0300
Бизнес-аналитик,150000,,RUR,Санкт-Петербург,2022-12-21T10:00:05+0300
Ведущий механик,35000,,RUR,Иваново (Ивановская область),2022-12-21T10:10:24+0300
Специалист отдела технической поддержки,50000,100000,RUR,Москва,2022-12-21T10:33:48+0300
Фрезеровщик,100000,,RUR,Красногорск,2022-12-21T11:34:35+0300
Токарь,37000,45000,RUR,Кострома,2022-12-21T10:10:20+0300
Инженер-программист,100000,130000,RUR,Красноярск,2022-12-21T10:45:32+0300
Инженер по безопасности дорожного движения,26000,,RUR,Кызыл,2022-12-21T10:51:45+0300
Менеджер проектов,90000,100000,RUR,Екатеринбург,2022-12-21T11:32:13+0300
Инженер строительного контроля (АКЗ/ОГЗ),126000,126000,RUR,Санкт-Петербург,2022-12-21T10:10:17+0300
Токарь,90000,,RUR,Серпухов,2022-12-21T11:33:22+0300
Фрезеровщик,100000,,RUR,Одинцово,2022-12-21T11:34:03+0300
Инженер сервисного центра (корпусирование ИС),120000,,RUR,Зеленоград,2022-12-21T11:51:31+0300
Аналитик-маркетолог,60000,,RUR,Екатеринбург,2022-12-21T11:59:57+0300
Системный аналитик,90000,,RUR,Нижний Новгород,2022-12-21T10:32:48+0300
Продакт-менеджер/категорийный менеджер,80000,200000,RUR,Екатеринбург,2022-12-21T10:58:54+0300
Инженер-программист,100000,130000,RUR,Сертолово,2022-12-21T10:45:31+0300
GO программист,60000,,RUR,Смоленск,2022-12-21T11:10:47+0300
Механик,60000,80000,RUR,Санкт-Петербург,2022-12-21T11:12:36+0300
Механик (выпуск на линию),,54683,RUR,Киевский,2022-12-21T10:44:30+0300
Ведущий инженер по тестированию QA (teamlead/senior),170000,230000,RUR,Москва,2022-12-21T10:09:42+0300
Менеджер отдела технического обслуживания (обслуживание слаботочных систем),60000,,RUR,Санкт-Петербург,2022-12-21T11:31:35+0300
Токарь-карусельщик,100000,,RUR,Красногорск,2022-12-21T11:33:54+0300
Фрезеровщик,,60000,RUR,Дивногорск,2022-12-21T10:18:25+0300
Шлифовщик,95000,,RUR,Серпухов,2022-12-21T11:34:46+0300
Оператор станков с ЧПУ,115000,,RUR,Москва,2022-12-21T10:54:48+0300
Руководитель проекта покопийного сервиса,110000,130000,RUR,Москва,2022-12-21T11:52:58+0300
Инженер-программист,100000,130000,RUR,Петрозаводск,2022-12-21T10:45:31+0300
Middle Data Engineer,200000,,RUR,Сочи,2022-12-21T11:55:56+0300
Специалист технической поддержки,50000,70000,RUR,Сертолово,2022-12-21T10:46:17+0300
IT Specialist,70000,,RUR,Москва,2022-12-21T11:09:00+0300
Оператор плазменной резки на производство металлоконструкций,70000,,RUR,Колтуши,2022-12-21T11:45:36+0300
Руководитель проектов 1С,200000,300000,RUR,Москва,2022-12-21T10:28:43+0300
Фрезеровщик,88000,,RUR,Новочебоксарск,2022-12-21T10:18:37+0300
Python Developer (Middle/Senior),2000,4000,USD,Ташкент,2022-12-21T11:02:02+0300
Ведущий системный администратор,130000,,RUR,Москва,2022-12-21T11:45:51+0300
Руководитель IT проектов,,220000,RUR,Москва,2022-12-21T10:08:37+0300
Фрезеровщик,112000,120000,RUR,Орск,2022-12-21T10:34:39+0300
Токарь,80000,85000,RUR,Тула,2022-12-21T11:01:18+0300
IT Relationship менеджер/ИТ бизнес-партнер блок CEO (в Банк),250000,,RUR,Москва,2022-12-21T11:39:57+0300
Приемщик сервисного центра,,55000,RUR,Москва,2022-12-21T11:32:21+0300
Контент Редактор (текстовый) в крупнейший интернет-магазин + блог-платформу (удалённо),45000,,RUR,Москва,2022-12-21T11:16:56+0300
Специалист службы технической поддержки клиентов,,300000,KZT,Алматы,2022-12-21T10:37:37+0300
Графический дизайнер,40000,,RUR,Санкт-Петербург,2022-12-21T11:50:43+0300
Дизайнер-верстальщик в копицентр,40000,50000,RUR,Санкт-Петербург,2022-12-21T10:49:32+0300
Токарь,2500,,BYR,Минск,2022-12-21T11:07:02+0300
Сервисный инженер / механик (ДГУ Cummins),160000,,RUR,Краснодар,2022-12-21T10:17:00+0300
SEO-оптимизатор / Web-разработчик Bitrix,120000,300000,RUR,Москва,2022-12-21T11:47:51+0300
Преподаватель по фото и видео позированию,600,900,AZN,Баку,2022-12-21T11:16:53+0300
Программист 1C,,250000,RUR,Москва,2022-12-21T10:00:05+0300
Системный аналитик,130000,,RUR,Санкт-Петербург,2022-12-21T10:45:32+0300
Системный администратор Linux,80000,160000,RUR,Подольск (Московская область),2022-12-21T10:04:43+0300
Ведущий менеджер по маркетплейсам для бренда медицинской одежды (офис),100000,170000,RUR,Москва,2022-12-21T11:42:32+0300
Оператор связи (телекоммуникации),40000,,RUR,Санкт-Петербург,2022-12-21T10:47:30+0300
Оператор фрезерного станка (мебельное производство),50000,70000,RUR,Тосно,2022-12-21T10:36:44+0300
Бизнес-аналитик,9000000,25000000,UZS,Ташкент,2022-12-21T11:36:16+0300
Сервисный инженер (терминалы),,75200,RUR,Москва,2022-12-21T10:26:21+0300
Инженер-конструктор по электронике,40000,60000,RUR,Воронеж,2022-12-21T10:55:40+0300
Программист 1C,140000,,RUR,Екатеринбург,2022-12-21T11:05:15+0300
Инженер-программист ПЛИС (FPGA),130000,,RUR,Москва,2022-12-21T10:29:33+0300
Заместитель технического директора сервисного подразделения ОПС (регионы),70000,85000,RUR,Екатеринбург,2022-12-21T10:24:45+0300
Токарь-карусельщик,100000,,RUR,Серпухов,2022-12-21T11:33:44+0300
Фрезеровщик,100000,,RUR,Щелково,2022-12-21T11:34:22+0300
Специалист технической поддержки (2 линия),55000,,RUR,Санкт-Петербург,2022-12-21T11:10:14+0300
Специалист по автоматизации и цифровизации,70000,,RUR,Иркутск,2022-12-21T11:12:43+0300
Оформитель зала,53000,,RUR,Лесной Городок,2022-12-21T11:08:47+0300
Инженер (монтаж электрооборудования),100000,110000,RUR,Москва,2022-12-21T10:09:36+0300
Инженер-монтажник,80600,,RUR,Пойковский,2022-12-21T11:10:34+0300
Программист 1 С,100000,,RUR,Тюмень,2022-12-21T11:48:13+0300
Механик (выпуск на линию),,54683,RUR,Селятино,2022-12-21T10:44:30+0300
Фрезеровщик,,60000,RUR,Зыково,2022-12-21T10:18:25+0300
"Сервис-механик техники Камацу (на сезон, Магадан)",250000,,RUR,Воркута,2022-12-21T11:46:35+0300
Токарь-карусельщик,100000,,RUR,Воскресенск,2022-12-21T11:33:50+0300
Механик производственного оборудования,35000,,RUR,Омск,2022-12-21T11:15:51+0300
Токарь-универсал,60000,,RUR,Щелково,2022-12-21T11:33:13+0300
Электромеханик,55000,,RUR,Калининград,2022-12-21T10:57:14+0300
Системный администратор,100000,,RUR,Новосибирск,2022-12-21T10:18:23+0300
Программист 1С,200000,200000,RUR,Москва,2022-12-21T10:36:57+0300
Оператор станков с ЧПУ (Фрезеровщик),90000,110000,RUR,Красноярск,2022-12-21T10:18:25+0300
Инженер-программист,100000,130000,RUR,Краснодар,2022-12-21T10:45:32+0300
Фрезеровщик,,60000,RUR,Емельяново,2022-12-21T10:18:25+0300
Сервисный инженер/Наладчик оборудования с ЧПУ,45000,80000,RUR,Ростов-на-Дону,2022-12-21T10:03:42+0300
Инженер группы мониторинга,,70000,RUR,Череповец,2022-12-21T11:04:32+0300
Системный аналитик,130000,,RUR,Сертолово,2022-12-21T10:45:32+0300
Главный механик (на производство),80000,110000,RUR,Щелково,2022-12-21T10:42:04+0300
Специалист 1С,150000,150000,RUR,Краснодар,2022-12-21T11:11:16+0300
"Senior FrontEnd Developer (JS, React), удаленно",220000,,RUR,Москва,2022-12-21T10:18:54+0300
Слесарь-инструментальщик координатно-пробивных станков,50000,75000,RUR,Сосновый Бор (Ленинградская область),2022-12-21T11:29:19+0300
Сервисный инженер по ИБП,80000,140000,RUR,Москва,2022-12-21T11:35:59+0300
Ведущий сетевой инженер,170000,,RUR,Москва,2022-12-21T11:27:50+0300
Консультант-аналитик 1С (Управление Холдингом),,200000,RUR,Москва,2022-12-21T11:51:08+0300
"Оператор/литейщик на полуавтомат (САО, ул. Доковская)",,60000,RUR,Омск,2022-12-21T10:26:30+0300
Дизайнер по пошиву штор,25000,,RUR,Тюмень,2022-12-21T10:11:47+0300
Инженер проекта,55000,,RUR,Киров (Кировская область),2022-12-21T11:36:57+0300
Программист 1С,150000,,RUR,Екатеринбург,2022-12-21T10:14:54+0300
Старший системный администратор,80000,120000,RUR,Ростов-на-Дону,2022-12-21T10:10:49+0300
Специалист технической поддержки,50000,70000,RUR,Сестрорецк,2022-12-21T10:46:17+0300
Фрезеровщик,100000,,RUR,Одинцово,2022-12-21T11:34:28+0300
Программист 1C,100000,,RUR,Нижний Новгород,2022-12-21T10:04:03+0300
Оператор станка с ЧПУ,80000,150000,RUR,Великий Новгород,2022-12-21T11:29:20+0300
Кромщик / Оператор кромкооблицовочного станка,80000,,RUR,Екатеринбург,2022-12-21T10:16:18+0300
Фрезеровщик,,60000,RUR,Березовка (Красноярский край),2022-12-21T10:18:26+0300
Монтажник слаботочных систем,50000,,RUR,Красноярск,2022-12-21T11:10:56+0300
Разработчик С++ (senior),200000,230000,RUR,Москва,2022-12-21T11:58:37+0300
Администратор 1С,50000,50000,RUR,Нижний Новгород,2022-12-21T11:27:01+0300
Ведущий инженер по компьютерным системам,100000,100000,RUR,Москва,2022-12-21T11:10:23+0300
Монтажник-ремонтник ОЛВС,40000,70000,RUR,Красноярск,2022-12-21T10:29:20+0300
